Token;accord
le;
tremblement;
a;
tout;
ce;
qui;
l';
entourait;
.;
La;
mauvaise;
fortune;
0;
au;
lieu;
"
";
de;
l';
abattre;
0;
l';
exaspera;
.;
Ou;
soir;
au;
matin;
0;
ce;
fut;
une;
colere;
formidable;
"
";
qui;
0;
ne;
sachant;
 ;
qui;
s';
en;
prendre;
0;
s';
attaquait;
 ;
tout;
0;
au;
soleil;
0;
au;
"
";
mistral;
0;
a;
Jacques;PER
0;
a;
la;PER
vieille;PER
Annou;PER
0;
a;
la;
Revolution;MISC
0;
ohl;
surtout;
a;
la;
"
";
Revolutionl;MISC
...;
A;
entendre;
mon;
pere;
0;
vous;
auriez;
jure;
que;
cette;
Revo-;MISC
"
";
lution;MISC
de;
8;
...;
0;
qui;
nous;
avait;
mis;
a;
mal;
0;
etait;
specialement;
dirigee;
"
";
contre;
nous;
.;
Aussi;
0;
je;
vous;
prie;
de;
croire;
que;
les;
revolutionnaires;
"
";
n';
etaient;
pas;
en;
odeur;
de;
saintete;
dans;
la;LOC
maison;LOC
Eyssette;LOC
.;
Dieu;
sait;
"
";
ce;
que;
nous;
avons;
dit;
de;
ces;
messieurs;
dans;
ce;
temps;
-0;
la;
...;
Encore;
"
";
aujourd'hui;
0;
quand;
le;PER
vieux;PER
papa;PER
Eyssette;PER
(;
que;
Dieu;MISC
me;
le;
conservel;
);
"
";
sent;
venir;
son;
acces;
de;
goutte;
0;
il;
s';
etend;
peniblement;
sur;
sa;
chaise;
"
";
longue;
0;
et;
nous;
l';
entendons;
dire;
:;
 ;
Ohl;
ces;
revolutionnaires;
l;
...;
n;
"
";
A;
l';
epoque;
dont;
je;
vous;
parle;
0;
M.;PER
Eyssette;PER
n';
avait;
pas;
la;
goutte;
0;
"
";
et;
la;
douleur;
de;
se;
voir;
ruine;
en;
avait;
fait;
un;
homme;
terrible;
que;
"
";
personne;
ne;
pouvait;
approcher;
.;
Il;
fallut;
le;
saigner;
deux;
fois;
en;
quinze;
"
";
jours;
.;
Autour;
de;
lui;
0;
chacun;
se;
taisait;
";";
on;
avait;
peur;
.;
A;
table;
0;
nous;
"
";
demandions;
du;
pain;
a;
voix;
basse;
.;
On;
n';
osait;
pas;
meme;
pleurer;
devant;
"
";
lui;
.;
Aussi;
0;
des;
qu';
il;
avait;
tourne;
les;
talons;
0;
ce;
n';
tait;
qu';
un;
sanglot;
0;
"
";
d';
un;
bout;
de;
la;
maison;
a;
l';
autre;
";";
ma;
mere;
0;
la;PER
vieille;PER
Annou;PER
0;
mon;
frere;
"
";
Jacques;PER
et;
aussi;
mon;
grand;
frere;
l';
abbe;
0;
lorsqu';
il;
venait;
nous;
voir;
0;
tout;
"
";
le;
monde;
s';
y;
mettait;
.;
Ma;
mere;
0;
cela;
se;
congoit;
0;
pleurait;
de;
voir;
"
";
MI;PER
.;PER
Eyssette;PER
malheureux;
";";
l';
abbe;
et;
la;PER
vieille;PER
Annou;PER
pleuraient;
de;
"
";
voir;
plcurer;
Me;PER
Eyssette;PER
";";
quant;
a;
Jacques;PER
0;
trop;
jeune;
encore;
pour;
"
";
comprendre;
nos;
malheurs;
0;
-0;
il;
avait;
a;
peine;
deux;
ans;
de;
plus;
que;
"
";
moi;
0;
-0;
il;
pleurait;
par;
besoin;
0;
pour;
le;
plaisir;
.;
"
";
Un;
singulier;
enfant;
que;
mon;
frere;
Jacques;PER
";";
en;
voila;
un;
qui;
avait;
"
";
le;
don;
des;
larmesl;
D';
aussi;
loin;
qu';
il;
me;
souvienne;
0;
je;
le;
vois;
0;
les;
yeuxLE;
PETIT;
CHOSE;
"
";
rouges;
et;
la;
joue;
ruisselante;
.;
Le;
soir;
0;
le;
matin;
0;
de;
jour;
0;
de;
nuit;
0;
en;
"
";
classe;
0;
a;
la;
maison;
0;
en;
promenade;
0;
il;
pleurait;
sans;
cesse;
0;
il;
pleurait;
"
";
partout;
.;
Quand;
on;
lui;
disait;
:;
a;
OQu';
as;
-0;
tu;
 ;
il;
repondait;
en;
sanglotant;
:;
"
 ";
Je;
n';
ai;
rien;
.;
Et;
0;
le;
plus;
curieux;
0;
c';
est;
qu';
il;
n';
avait;
rien;
.;
Il;
pleurait;
"
";
comme;
on;
se;
mouche;
0;
plus;
souvent;
0;
voila;
tout;
.;
Quelquefois;
M.;PER
Eyssette;PER
0;
"
";
exaspere;
0;
disait;
a;
ma;
mere;
:;
aCet;
enfant;
est;
ridicule;
0;
regardez;
-0;
lel;
...;
"
";
c';
est;
un;
fleuve;
.;
A;
quoi;
Mme;PER
Eyssette;PER
repondait;
de;
sa;
voix;
douce;
:;
"
 ";
Que;
veux;
-0;
tu;
0;
mon;
ami;
?;
cela;
passera;
en;
grandissant;
";";
a;
son;
age;
0;
j';
etais;
"
";
comme;
lui;
.;
En;
attendant;
0;
Jacques;PER
grandissait;
";";
il;
grandissait;
beaucoup;
"
";
meme;
0;
et;
cela;
ne;
lui;
passait;
pas;
.;
Tout;
au;
contraire;
0;
la;
singuliere;
aptitude;
"
";
qu';
avait;
cet;
etrange;
garcon;
a;
repandre;
sans;
raison;
des;
averses;
de;
larmes;
"
";
allait;
chaque;
jour;
en;
augmentant;
.;
Aussi;
la;
desolation;
de;
nos;
parents;
"
";
lui;
fut;
une;
grande;
fortune;
...;
C';
est;
pour;
le;
coup;
qu';
il;
s';
en;
donna;
de;
"
";
sangloter;
a;
son;
aise;
0;
des;
journees;
entieres;
0;
sans;
que;
personne;
vint;
lui;
"
";
dire;
:;
Qu';
as;
-0;
tun;
"
";
En;
somme;
0;
pour;
Jacques;PER
comme;
pour;
moi;
0;
notre;
ruine;
avait;
son;
"
";
joli;
cote;
.;
"
";
Pour;
ma;
part;
0;
j';
etais;
tres;
heureux;
.;
On;
ne;
s';
occupait;
plus;
de;
moi;
.;
"
";
;
en;
profitais;
pour;
jouer;
tout;
le;
jour;
avec;
Rouget;PER
parmi;
les;
ateliers;
"
";
deserts;
0;
oi;
nos;
pas;
sonnaient;
comme;
dans;
une;
eglise;
0;
et;
les;
grandes;
"
";
cours;
abandonnees;
0;
que;
l';
herbe;
envahissait;
deja;
.;
Ce;
jeune;
Rouget;PER
0;
"
";
fils;
du;
concierge;PER
Colombe;PER
0;
etait;
un;
gros;
garcon;
d';
une;
douzaine;
"
";
d';
annees;
0;
fort;
comme;
un;
beuf;
0;
devoue;
comme;
un;
chien;
0;
bete;
comme;
"
";
une;
oie;
et;
remarquable;
surtout;
par;
une;
chevelure;
rouge;
0;
a;
laquelle;
"
";
il;
devait;
son;
surnom;
de;
Rouget;PER
.;
Seulement;
0;
je;
vais;
vous;
dire;
:;
Rouget;PER
0;
"
";
pour;
moi;
0;
n';
etait;
pas;
Rouget;PER
.;
Il;
etait;
tour;
a;
tour;
mon;
fidele;
Vendredi;PER
0;
"
";
une;
tribu;
de;
sauvages;
0;
un;
equipage;
revolte;
0;
tout;
ce;
qu';
on;
voulait;
.;
"
";
Moi;
-0;
meme;
0;
en;
ce;
temps;
-0;
la;
0;
je;
ne;
m';
appelais;
pas;
Daniel;PER
Eyssette;PER
";";
"
";
j';
etais;
cet;
homme;
singulier;
0;
vetu;
de;
peaux;
de;
betes;
0;
dont;
on;
venait;
"
";
de;
me;
donner;
les;
aventures;
0;
master;PER
Crusoe;PER
lui;
-0;
meme;
.;
Douce;
folie;
l;
"
";
Le;
soir;
0;
apres;
souper;
0;
je;
relisais;
mon;
Robinson;PER
0;
je;
l';
apprenais;
par;
ceur;
";";
"
";
le;
jour;
0;
je;
le;
jouais;
0;
je;
le;
jouais;
avec;
rage;
0;
et;
tout;
ce;
qui;
m';
entourait;
0;
"
";
je;
l';
enrolais;
dans;
ma;
comedie;
.;
La;
fabrique;
n';
etait;
plus;
la;
fabrique;
";";
"
";
c';
etait;
mon;
fle;
deserte;
0;
ohl;
bien;
deserte;
.;
Les;
bassins;
jouaient;
le;
rOle;
"
";
d';
Ocean;LOC
.;
Le;
jardin;
faisait;
une;
foret;
vierge;
.;
Il;
y;
avait;
dans;
les;
platanes;
"
";
un;
tas;
de;
cigales;
qui;
etaient;
de;
la;
piece;
et;
qui;
ne;
le;
savaient;
pas;
.;
"
";
Rouget;PER
0;
lui;
non;
plus;
0;
ne;
se;
doutait;
guere;
de;
l';
importance;
de;
son;
"
";
role;
.;
Si;
on;
lui;
avait;
demande;
ce;
que;
c';
etait;
que;
Robinson;PER
0;
on;
l';
auraitLA;
FABRIQUE;
"
";
.;
"
";
bien;
embarrasse;
";";
pourtant;
je;
dois;
dire;
qu';
il;
tenait;
son;
emploi;
avec;
la;
"
";
plus;
grande;
conviction;
0;
et;
que;
0;
pour;
imiter;
le;
rugissement;
des;
sau-;
"
";
vages;
0;
il;
n';
y;
en;
avait;
pas;
comme;
lui;
.;
Ou;
avait;
-il;
appris;
e;
l';
ignore;
.;
"
";
Toujours;
est;
-il;
que;
ces;
grands;
rugissements;
de;
sauvage;
qu';
il;
allait;
"
";
chercher;
dans;
le;
fond;
de;
sa;
gorge;
0;
en;
agitant;
sa;
forte;
criniere;
rouge;
0;
"
";
auraient;
fait;
fremir;
les;
plus;
braves;
.;
MIoi;
-0;
meme;
0;
Robinson;PER
0;
j';
en;
avais;
"
";
quelquefois;
le;
ceur;
bouleverse;
0;
et;
j';
etais;
oblige;
de;
lui;
dire;
a;
voix;
basse;
:;
"
 ";
Pas;
si;
fort;
0;
Rouget;PER
0;
tu;
me;
fais;
peur;
.;
"
";
Malheureusement;
0;
si;
Rouget;PER
imitait;
le;
cri;
des;
sauvages;
tres;
bien;
0;
"
";
il;
savait;
encore;
mieux;
dire;
les;
gros;
mots;
d';
enfants;
de;
la;
rue;
et;
jurer;
le;
"
";
nom;
de;
Notre-Seigneur;WARNING !!
.;
Tout;
en;
jouant;
0;
j';
appris;
a;
faire;
comme;
lui;
0;
"
";
et;
un;
jour;
0;
en;
pleine;
table;
0;
un;
formidable;
juron;
m';
echappa;
je;
ne;
sais;
"
";
comment;
.;
Consternation;
generalel;
Qui;
t';
a;
appris;
cela;
?;
Ou;
l';
as;
-0;
tu;
"
";
entendu;
?;
n;
Ce;
fut;
un;
evenement;
.;
M.;PER
Eyssette;PER
parla;
tout;
de;
suite;
de;
"
";
me;
mettre;
dans;
une;
maison;
de;
correction;
";";
mon;
grand;
frere;
l';
abbe;
dit;
"
";
qu';
avant;
toute;
chose;
on;
devait;
m';
envoyer;
a;
confesse;
0;
puisque;
j';
avais;
"
";
l';
age;
de;
raison;
.;
On;
me;
mena;
a;
confesse;
.;
Grande;
affairel;
Il;
fallait;
"
";
ramasser;
dans;
tous;
les;
coins;
de;
ma;
conscience;
un;
tas;
de;
vieux;
peches;
"
";
qui;
trainaient;
l;
depuis;
sept;
ans;
.;
e;
ne;
dormis;
pas;
de;
deux;
nuits;
";";
"
";
c';
est;
qu';
il;
y;
en;
avait;
toute;
une;
paneree;
de;
ces;
diables;
de;
peches;
";";
j';
avais;
"
";
mis;
les;
plus;
petits;
dessus;
0;
mais;
c';
est;
egal;
0;
les;
autres;
se;
voyaient;
0;
et;
"
";
lorsque;
0;
agenouille;
dans;
la;
petite;
armoire;
de;
chenc;
0;
il;
fallut;
montrer;
"
";
tout;
cela;
au;
cure;
des;
Recollets;
0;
je;
crus;
que;
je;
mourrais;
de;
peur;
et;
de;
"
";
confusion;
...;
"
";
Ce;
fut;
fini;
.;
Je;
ne;
voulus;
plus;
jouer;
avec;
Rouget;PER
";";
je;
savais;
mainte-;
"
";
nant;
0;
c';
est;
saint;PER
Paul;PER
qui;
l';
a;
dit;
et;
le;
cure;
des;
Recollets;
me;
le;
repeta;
0;
"
";
que;
le;
demon;
rode;
eternellement;
autour;
de;
nous;
comme;
un;
lion;
0;
"
";
qterens;
quem;
deoret;
.;
Ohl;
ce;
querens;
quem;
deoret;
0;
quelle;
impression;
"
";
il;
me;
fitl;
Je;
savais;
aussi;
que;
cet;
intrigant;
de;
Lucifer;PER
prend;
tous;
les;
"
";
visages;
qu';
il;
veut;
pour;
vous;
tenter;
";";
et;
vous;
ne;
m';
auriez;
pas;
ote;
de;
"
";
l';
idee;
qu';
il;
s';
etait;
cache;
dans;
la;
peau;
de;
Rouget;PER
pour;
m';
apprendre;
a;
"
";
jurer;
le;
nom;
de;
Dieu;MISC
.;
Aussi;
0;
mon;
premier;
soin;
0;
en;
rentrant;
a;
la;
"
";
fabrique;
0;
fut;
d';
avertir;
Vendredi;PER
qu';
il;
eut;
a;
rester;
chez;
lui;
dorenavant;
.;
"
";
Infortune;
Vendredil;PER
Cet;
ukase;
lui;
creva;
le;
coeur;
0;
mais;
il;
s';
y;
conforma;
"
";
sans;
une;
plainte;
.;
Quelquefois;
0;
je;
l';
apercevais;
debout;
0;
sur;
la;
porte;
de;
"
";
la;
loge;
0;
du;
cote;
des;
ateliers;
";";
il;
se;
tenait;
la;
tristement;
";";
et;
lorsqu';
il;
voyait;
"
";
que;
je;
le;
regardais;
0;
le;
malheureux;
poussait;
pour;
m';
attendrir;
les;
plus;
"
";
effroyables;
rugissements;
0;
en;
agitant;
sa;
criniere;
flamboyante;
";";
mais;
plusy;
"
";
LE;
PETIT;
CHOSE;
"
";
il;
rugissait;
0;
plus;
je;
me;
tenais;
loin;
.;
Je;
trouvais;
qu';
il;
ressemblait;
au;
"
";
fameux;
lion;
querens;
.;
e;
lui;
criais;
:;
a;
Va;
-0;
t';
enl;
tu;
me;
fais;
horreur.o;
"
";
Rouget;PER
s';
obstina;
a;
rugir;
ainsi;
pendant;
quelques;
jours;
";";
puis;
0;
un;
"
";
matin;
0;
son;
pere;
0;
fatigue;
de;
ses;
rugissements;
a;
domicile;
0;
l';
envoya;
rugir;
"
";
en;
apprentissage;
0;
et;
je;
ne;
le;
revis;
plus;
.;
"
";
Mon;
enthousiasme;
pour;
Robinson;PER
n';
en;
fut;
pas;
un;
instant;
refroidi;
.;
"
";
Tout;
juste;
vers;
ce;
temps;
-0;
la;
0;
l';PER
oncle;PER
Baptiste;PER
se;
degota;
subitement;
de;
"
";
son;
perroquet;
et;
me;
le;
donna;
.;
Ce;
perroquet;
remplaca;
Vendredi;PER
.;
"
";
Je;
l';
installai;
dans;
une;
belle;
cage;
au;
fond;
de;
ma;
residence;
d';
hiver;
";";
et;
"
";
me;
voila;
0;
plus;
Crusoe;PER
que;
jamais;
0;
passant;
mes;
journees;
en;
tete;
a;
tete;
"
";
avec;
cet;
interessant;
volatile;
et;
cherchant;
a;
lui;
faire;
dire;
:;
 ;
Robinson;PER
0;
"
";
mon;
pauvre;
Robinsonln;PER
Comprenez;
-vous;
cela;
Ce;
perroquet;
0;
que;
"
";
l';PER
oncle;PER
Baptiste;PER
m';
avait;
donne;
pour;
se;
debarrasser;
de;
son;
eternel;
"
";
bavardage;
0;
s';
obstina;
a;
ne;
pas;
parler;
des;
qu';
il;
fut;
a;
moi;
...;
Pas;
plus;
"
 ";
mon;
pauvre;
Robinsonn;PER
qu';
autre;
chose;
";";
jamais;
je;
n';
en;
pus;
rien;
tirer;
.;
"
";
Malgre;
cela;
0;
je;
l';
aimais;
beaucoup;
et;
j';
en;
avais;
le;
plus;
grand;
soin;
.;
"
";
Nous;
vivions;
ainsi;
0;
mon;
perroquet;
et;
moi;
0;
dans;
la;
plus;
austere;
"
";
solitude;
0;
lorsqu';
un;
matin;
il;
m';
arriva;
une;
chose;
vraiment;
extraordinaire;
.;
"
";
Ce;
jour;
-0;
la;
0;
j';
avais;
quitte;
ma;
cabane;
de;
bonne;
heure;
et;
je;
faisais;
0;
arme;
"
";
jusqu';
aux;
dents;
0;
un;
voyage;
d';
exploration;
a;
travers;
mon;
fle;
...;
Tout;
h;
"
";
coup;
0;
je;
vis;
venir;
de;
mon;
cOote;
un;
groupe;
de;
trois;
ou;
quatre;
personnes;
0;
"
";
qui;
parlaient;
a;
voix;
tres;
haute;
et;
gesticulaient;
vivement;
.;
uste;
Dieul;MISC
"
";
des;
hommes;
dans;
mon;
flel;
e;
n';
eus;
que;
le;
temps;
de;
me;
jeter;
derriere;
"
";
un;
bouquet;
de;
lauriers;
-0;
roses;
0;
et;
a;
plat;
ventre;
0;
s';
il;
vous;
plaft;
...;
Les;
"
";
hommes;
passerent;
pres;
de;
moi;
sans;
me;
voir;
...;
Je;
crus;
distinguer;
la;
"
";
voix;
du;
concierge;PER
Colombe;PER
0;
ce;
qui;
me;
rassura;
un;
peu;
";";
mais;
0;
c';
est;
"
";
egal;
0;
des;
qu';
ils;
furent;
loin;
je;
sortis;
de;
ma;
cachette;
et;
je;
les;
suivis;
"
";
distance;
pour;
voir;
ce;
que;
tout;
cela;
deviendrait;
...;
"
";
Ces;
etrangers;
resterent;
longtemps;
dans;
mon;
ile;
...;
Ils;
la;
visiterent;
"
";
d';
un;
bout;
a;
l';
autre;
dans;
tous;
ses;
details;
.;
Je;
les;
vis;
entrer;
dans;
mes;
"
";
grottes;
et;
sonder;
avec;
leurs;
cannes;
la;
profondeur;
de;
mes;
oceans;
:;
De;
"
";
temps;
en;
temps;
ils;
s';
arretaient;
et;
remuaient;
la;
tete;
.;
Toute;
ma;
crainte;
"
";
etait;
qu';
ils;
ne;
vinssent;
a;
decouvrir;
mes;
residences;
...;
(;
Que;
serais;
-je;
"
";
devenu;
0;
grand;
Dieul;MISC
Heureusement;
0;
il;
n';
en;
fut;
rien;
0;
et;
au;
bout;
d';
une;
"
";
demi-heure;
0;
les;
hommes;
se;
retirerent;
sans;
se;
douter;
seulement;
que;
"
";
l';
le;
etait;
habitee;
.;
Des;
qu';
ils;
furent;
partis;
0;
je;
courus;
m';
enfermer;
dans;
"
";
une;
de;
mes;
cabanes;
0;
et;
passai;
la;
le;
reste;
du;
jour;
a;
me;
demander;
quels;
"
";
etaient;
ces;
hommes;
et;
ce;
qu';
ils;
etaient;
venus;
faire;
.;
L;
"
";
4;
-0;
-0;
"
";
a;
;
"
";
IZ;
"
";
3,t;
"
";
L---;
"
";
A;
"
";
IlP;
"
";
-0;
I.;
"
";
L;
"
";
1;
"
";
.l;
"
 ";
-0;
.-;
"
";
1E.;
"
";
s;
"
";
Fe1;
I;
"
 ";
0;
-0;
"
";
--;
"
";
-0;
"

";
3;
"

";
a.;
"


";
1;
"
";
3;
=;
-0;
"
 ";
ii;
"
";
N;
"
 ";
-0;
);
"
";
N;
"
";
EZEYt;
:;
t;
"
";
.;
"
";
l;
Lri;
lx;
"
";
0;
-0;
0;
"
";
s;
0;
"
";
p;
`;
"
";
.;
"
";
.y-;
";";
"
";
.I;
"
";
-0;
"
";
AI;
"
";
--;
c;
"
 ";
.;
.;
"
";
.;
"
";
L;
i;
"
";
I-;
"
";
fi;
"


";
ytP;
"
";
:;
"
";
Gei4;
"
";
-3;
"
";
=;
"
";
--L;
"
";
-0;
"
 ";
.L.;
"
";
r;
"
";
ie;
"
";
L3;
"
";
N;
"
";
.-;
 ;
.;
"
";
t;
z;
"
";
P;
;
-L;
"
";
-0;
"
";
=;
essC;
"
";
--;
"
";
r;
"
";
r;
"
";
e;
;
"
";
I;
"
";
.;
"

";
-0;
"
";
-e;
"
";
--L;
=;
-0;
"
";
z;
--;
z';
allais;
le;
savoir;
bientot;
.;
"
";
LA;
FABRIOQUE;
"
";
Le;
soir;
0;
a;
souper;
0;
M.;PER
Eyssette;PER
nous;
annongca;
solennellement;
que;
la;
"
";
fabrique;
etait;
vendue;
0;
et;
que;
0;
dans;
un;
mois;
0;
nous;
partirions;
tous;
pour;
"
";
Lyon;LOC
0;
o;
nous;
allions;
demeurer;
desormais;
.;
"
";
Ce;
fut;
un;
coup;
terrible;
.;
Il;
me;
sembla;
que;
le;
ciel;
croulait;
.;
La;
"
";
fabrique;
venduel;
...;
Eh;
bienl;
et;
mon;
ile;
0;
mes;
grottes;
0;
mes;
cabanes;
?;
"
";
IIelasl;
l';
fle;
0;
les;
grottes;
0;
les;
cabanes;
0;
M.;PER
Eyssette;PER
avait;
tout;
vendu;
";";
"
";
il;
fallait;
tout;
quitter;
.;
Dieu;MISC
0;
que;
je;
pleuraisl;
...;
"
";
Pendant;
un;
mois;
0;
tandis;
qu';
a;
