Token;Label;accord;
M.;;PER;
et;;;
Me;PER;PER;
Eyssette;PER;PER;
0;;;
la;;PER;
vieille;;PER;
Annou;LOC;PER;
0;;;
"
";;;
mon;;;
frere;;;
Jacques;PER;PER;
et;;;
moi;;;
";";;;
puis;;;
0;;;
la;;;
0;;;
bas;;;
0;;;
dans;;;
le;;;
fond;;;
0;;;
pour;;;
garder;;;
les;;;
"
";;;
ateliers;;;
0;;;
le;;PER;
concierge;;PER;
Colombe;PER;PER;
et;;;
son;;;
fils;;;
le;;PER;
petit;;PER;
Rouget;PER;PER;
.;;;
"
";;;
C';;;
etait;;;
fini;;;
0;;;
nous;;;
etions;;;
ruines;;;
.;;;
"
";;;
;;;
avais;;;
alors;;;
six;;;
ou;;;
sept;;;
ans;;;
.;;;
Comme;;;
j';;;
etais;;;
tres;;;
frele;;;
et;;;
maladif;;;
0;;;
"
";;;
mes;;;
parents;;;
n';;;
avaient;;;
pas;;;
voulu;;;
m';;;
envoyer;;;
a;;;
l';;;
ecole;;;
.;;;
Ma;;;
mere;;;
m';;;
avait;;;
"
";;;
seulement;;;
appris;;;
a;;;
lire;;;
et;;;
a;;;
ecrire;;;
0;;;
plus;;;
quelques;;;
mots;;;
d';;;
espagnol;;;
et;;;
"
";;;
deux;;;
ou;;;
trois;;;
airs;;;
de;;;
guitare;;;
0;;;
a;;;
l';;;
aide;;;
desquels;;;
on;;;
m';;;
avait;;;
fait;;;
0;;;
dans;;;
la;;;
"
";;;
famille;;;
0;;;
une;;;
reputation;;;
de;;;
petit;;;
prodige;;;
.;;;
Grace;PER;NA;
a;;;
ce;;;
systeme;;;
d';;;
education;;;
0;;;
"
";;;
je;;;
ne;;;
bougeais;;;
jamais;;;
de;;;
chez;;;
nous;;;
0;;;
et;;;
je;;;
pus;;;
assister;;;
dans;;;
tous;;;
ses;;;
"
";;;
details;;;
a;;;
l';;;
agonie;;;
de;;;
la;;LOC;
maison;;LOC;
Eyssette;LOC;LOC;
.;;;
Ce;;;
spectacle;;;
me;;;
laissa;;;
froid;;;
0;;;
LA;MISC;NA;
FABRIQUE;MISC;NA;
"

";MISC;NA;
je;MISC;NA;
l';MISC;NA;
avoue;MISC;NA;
";";;;
meme;;;
je;;;
trouvai;;;
h;;;
notre;;;
ruine;;;
ce;;;
c6te;;;
tres;;;
agreable;;;
0;;;
que;;;
je;;;
"
";;;
pouvais;;;
gambader;;;
a;;;
ma;;;
guise;;;
par;;;
toute;;;
la;;;
fabrique;;;
0;;;
ce;;;
qui;;;
0;;;
du;;;
temps;;;
des;;;
"
";;;
ouvriers;;;
0;;;
ne;;;
m';;;
etait;;;
permis;;;
que;;;
le;;;
dimanche;;;
.;;;
Je;;;
disais;;;
gravement;;;
au;;;
"
";;;
petit;;;
Rouget;PER;PER;
:;;;
 ;;;
Maintenant;;;
0;;;
la;;;
fabrique;;;
est;;;
a;;;
moi;;;
";";;;
on;;;
me;;;
l';;;
a;;;
donnee;;;
"
";;;
pour;;;
jouer;;;
.;;;
 ;;;
Et;;;
le;;;
petit;;PER;
Rouget;PER;PER;
me;;;
croyait;;;
.;;;
Il;;;
croyait;;;
tout;;;
ce;;;
que;;;
je;;;
"
";;;
lui;;;
disais;;;
0;;;
cet;;;
imbecile;;;
.;;;
"
";;;
A;;;
la;;;
maison;;;
0;;;
par;;;
exemple;;;
0;;;
tout;;;
le;;;
monde;;;
ne;;;
prit;;;
pas;;;
notre;;;
debacle;;;
"
";;;
aussi;;;
gaiement;;;
.;;;
Tout;;;
a;;;
coup;;;
M.;PER;PER;
Eyssette;PER;PER;
devint;;;
terrible;;;
";";;;
c';;;
etait;;;
dans;;;
"
";;;
l';;;
habitude;;;
une;;;
nature;;;
enflammee;;;
0;;;
violente;;;
0;;;
exageree;LOC;NA;
0;;;
aimant;;;
les;;;
cris;;;
0;;;
"
";;;
la;;;
casse;;;
et;;;
les;;;
tonnerres;;;
";";;;
au;;;
fond;;;
0;;;
un;;;
tres;;;
excellent;;;
homme;;;
0;;;
ayant;;;
"
";;;
seulement;;;
la;;;
main;;;
leste;;;
0;;;
le;;;
verbe;;;
haut;;;
et;;;
l';;;
imperieux;;;
besoin;;;
de;;;
donner;;;
"
";;;
le;;;
tremblement;;;
a;;;
tout;;;
ce;;;
qui;;;
l';;;
entourait;;;
.;;;
La;;;
mauvaise;;;
fortune;;;
0;;;
au;;;
lieu;;;
"
";;;
de;;;
l';;;
abattre;;;
0;;;
l';;;
exaspera;;;
.;;;
Ou;;;
soir;;;
au;;;
matin;;;
0;;;
ce;;;
fut;;;
une;;;
colere;;;
formidable;;;
"
";;;
qui;;;
0;;;
ne;;;
sachant;;;
 ;;;
qui;;;
s';;;
en;;;
prendre;;;
0;;;
s';;;
attaquait;;;
 ;;;
tout;;;
0;;;
au;;;
soleil;;;
0;;;
au;;;
"
";;;
mistral;;;
0;;;
a;;;
Jacques;PER;PER;
0;;;
a;;;
la;;PER;
vieille;;PER;
Annou;LOC;PER;
0;;;
a;;;
la;;;
Revolution;MISC;MISC;
0;;;
ohl;ORG;NA;
surtout;;;
a;;;
la;;;
"
";;;
Revolutionl;LOC;MISC;
...;;;
A;;;
entendre;;;
mon;;;
pere;;;
0;;;
vous;;;
auriez;;;
jure;;;
que;;;
cette;;;
Revo-;MISC;MISC;
"
";MISC;NA;
lution;MISC;MISC;
de;;;
8;;;
...;;;
0;;;
qui;;;
nous;;;
avait;;;
mis;;;
a;;;
mal;;;
0;;;
etait;;;
specialement;;;
dirigee;;;
"
";;;
contre;;;
nous;;;
.;;;
Aussi;;;
0;;;
je;;;
vous;;;
prie;;;
de;;;
croire;;;
que;;;
les;;;
revolutionnaires;;;
"
";;;
n';;;
etaient;;;
pas;;;
en;;;
odeur;;;
de;;;
saintete;;;
dans;;;
la;;LOC;
maison;;LOC;
Eyssette;LOC;LOC;
.;;;
Dieu;;;
sait;;;
"
";;;
ce;;;
que;;;
nous;;;
avons;;;
dit;;;
de;;;
ces;;;
messieurs;;;
dans;;;
ce;;;
temps;;;
0;;;
la;;;
...;;;
Encore;;;
"
";;;
aujourd'hui;;;
0;;;
quand;;;
le;;PER;
vieux;;PER;
papa;;PER;
Eyssette;LOC;PER;
(;;;
que;;;
Dieu;MISC;MISC;
me;;;
le;;;
conservel;;;
);;;
"
";;;
sent;;;
venir;;;
son;;;
acces;;;
de;;;
goutte;;;
0;;;
il;;;
s';;;
etend;;;
peniblement;;;
sur;;;
sa;;;
chaise;;;
"
";;;
longue;;;
0;;;
et;;;
nous;;;
l';;;
entendons;;;
dire;;;
:;;;
 ;;;
Ohl;PER;NA;
ces;;;
revolutionnaires;;;
l;;;
...;;;
n;;;
"
";;;
A;LOC;NA;
l';;;
epoque;;;
dont;;;
je;;;
vous;;;
parle;;;
0;;;
M.;PER;PER;
Eyssette;PER;PER;
n';;;
avait;;;
pas;;;
la;;;
goutte;;;
0;;;
"
";;;
et;;;
la;;;
douleur;;;
de;;;
se;;;
voir;;;
ruine;;;
en;;;
avait;;;
fait;;;
un;;;
homme;;;
terrible;;;
que;;;
"
";;;
personne;;;
ne;;;
pouvait;;;
approcher;;;
.;;;
Il;;;
fallut;;;
le;;;
saigner;;;
deux;;;
fois;;;
en;;;
quinze;;;
"
";;;
jours;;;
.;;;
Autour;;;
de;;;
lui;;;
0;;;
chacun;;;
se;;;
taisait;;;
";";;;
on;;;
avait;;;
peur;;;
.;;;
A;;;
table;;;
0;;;
nous;;;
"
";;;
demandions;;;
du;;;
pain;;;
a;;;
voix;;;
basse;;;
.;;;
On;;;
n';;;
osait;;;
pas;;;
meme;;;
pleurer;;;
devant;;;
"
";;;
lui;;;
.;;;
Aussi;;;
0;;;
des;;;
qu';;;
il;;;
avait;;;
tourne;;;
les;;;
talons;;;
0;;;
ce;;;
n';;;
tait;;;
qu';;;
un;;;
sanglot;;;
0;;;
"
";;;
d';;;
un;;;
bout;;;
de;;;
la;;;
maison;;;
a;;;
l';;;
autre;;;
";";;;
ma;;;
mere;;;
0;;;
la;;PER;
vieille;;PER;
Annou;LOC;PER;
0;;;
mon;;;
frere;;;
"
";;;
Jacques;PER;PER;
et;;;
aussi;;;
mon;;;
grand;;;
frere;;;
l';;;
abbe;;;
0;;;
lorsqu';;;
il;;;
venait;;;
nous;;;
voir;;;
0;;;
tout;;;
"
";;;
le;;;
monde;;;
s';;;
y;;;
mettait;;;
.;;;
Ma;;;
mere;;;
0;;;
cela;;;
se;;;
congoit;;;
0;;;
pleurait;;;
de;;;
voir;;;
"
";;;
MI;LOC;PER;
.;;PER;
Eyssette;LOC;PER;
malheureux;;;
";";;;
l';;;
abbe;;;
et;;;
la;;PER;
vieille;;PER;
Annou;LOC;PER;
pleuraient;;;
de;;;
"
";;;
voir;;;
plcurer;;;
Me;MISC;PER;
Eyssette;MISC;PER;
";";;;
quant;;;
a;;;
Jacques;PER;PER;
0;;;
trop;;;
jeune;;;
encore;;;
pour;;;
"
";;;
comprendre;;;
nos;;;
malheurs;;;
0;;;
0;;;
il;;;
avait;;;
a;;;
peine;;;
deux;;;
ans;;;
de;;;
plus;;;
que;;;
"
";;;
moi;;;
0;;;
0;;;
il;;;
pleurait;;;
par;;;
besoin;;;
0;;;
pour;;;
le;;;
plaisir;;;
.;;;
"
";;;
Un;;;
singulier;;;
enfant;;;
que;;;
mon;;;
frere;;;
Jacques;PER;PER;
";";;;
en;;;
voila;;;
un;;;
qui;;;
avait;;;
"
";;;
le;;;
don;;;
des;;;
larmesl;;;
D';;;
aussi;;;
loin;;;
qu';;;
il;;;
me;;;
souvienne;;;
0;;;
je;;;
le;;;
vois;;;
0;;;
les;;;
yeuxLE;;;
PETIT;;;
CHOSE;;;
"
";;;
rouges;;;
et;;;
la;;;
joue;;;
ruisselante;;;
.;;;
Le;;;
soir;;;
0;;;
le;;;
matin;;;
0;;;
de;;;
jour;;;
0;;;
de;;;
nuit;;;
0;;;
en;;;
"
";;;
classe;;;
0;;;
a;;;
la;;;
maison;;;
0;;;
en;;;
promenade;;;
0;;;
il;;;
pleurait;;;
sans;;;
cesse;;;
0;;;
il;;;
pleurait;;;
"
";;;
partout;;;
.;;;
Quand;;;
on;;;
lui;;;
disait;;;
:;;;
a;;;
OQu';MISC;NA;
as;MISC;NA;
0;MISC;NA;
tu;MISC;NA;
 ;;;
il;;;
repondait;;;
en;;;
sanglotant;;;
:;;;
"
 ";;;
Je;;;
n';;;
ai;;;
rien;;;
.;;;
Et;;;
0;;;
le;;;
plus;;;
curieux;;;
0;;;
c';;;
est;;;
qu';;;
il;;;
n';;;
avait;;;
rien;;;
.;;;
Il;;;
pleurait;;;
"
";;;
comme;;;
on;;;
se;;;
mouche;;;
0;;;
plus;;;
souvent;;;
0;;;
voila;PER;NA;
tout;;;
.;;;
Quelquefois;;;
M.;PER;PER;
Eyssette;PER;PER;
0;;;
"
";;;
exaspere;;;
0;;;
disait;;;
a;;;
ma;;;
mere;;;
:;;;
aCet;;;
enfant;;;
est;;;
ridicule;;;
0;;;
regardez;PER;NA;
0;PER;NA;
lel;PER;;
...;;;
"
";;;
c';;;
est;;;
un;;;
fleuve;;;
.;;;
A;;;
quoi;;;
Mme;PER;PER;
Eyssette;PER;PER;
repondait;;;
de;;;
sa;;;
voix;;;
douce;;;
:;;;
"
 ";;;
Que;;;
veux;;;
0;;;
tu;;;
0;;;
mon;;;
ami;;;
?;;;
cela;;;
passera;;;
en;;;
grandissant;;;
";";;;
a;;;
son;;;
age;;;
0;;;
j';;;
etais;;;
"
";;;
comme;;;
lui;;;
.;;;
En;;;
attendant;;;
0;;;
Jacques;PER;PER;
grandissait;;;
";";;;
il;;;
grandissait;;;
beaucoup;;;
"
";;;
meme;;;
0;;;
et;;;
cela;;;
ne;;;
lui;;;
passait;;;
pas;;;
.;;;
Tout;;;
au;;;
contraire;;;
0;;;
la;;;
singuliere;;;
aptitude;;;
"
";;;
qu';;;
avait;;;
cet;;;
etrange;;;
garcon;;;
a;;;
repandre;;;
sans;;;
raison;;;
des;;;
averses;;;
de;;;
larmes;;;
"
";;;
allait;;;
chaque;;;
jour;;;
en;;;
augmentant;;;
.;;;
Aussi;;;
la;;;
desolation;;;
de;;;
nos;;;
parents;;;
"
";;;
lui;;;
fut;;;
une;;;
grande;;;
fortune;;;
...;;;
C';;;
est;;;
pour;;;
le;;;
coup;;;
qu';;;
il;;;
s';;;
en;;;
donna;;;
de;;;
"
";;;
sangloter;;;
a;;;
son;;;
aise;;;
0;;;
des;;;
journees;;;
entieres;;;
0;;;
sans;;;
que;;;
personne;;;
vint;;;
lui;;;
"
";;;
dire;;;
:;;;
Qu';;;
as;;;
0;;;
tun;;;
"
";;;
En;;;
somme;;;
0;;;
pour;;;
Jacques;PER;PER;
comme;;;
pour;;;
moi;;;
0;;;
notre;;;
ruine;;;
avait;;;
son;;;
"
";;;
joli;;;
cote;;;
.;;;
"
";;;
Pour;;;
ma;;;
part;;;
0;;;
j';;;
etais;;;
tres;;;
heureux;;;
.;;;
On;;;
ne;;;
s';;;
occupait;;;
plus;;;
de;;;
moi;;;
.;;;
"
";;;
;;;
en;;;
profitais;;;
pour;;;
jouer;;;
tout;;;
le;;;
jour;;;
avec;;;
Rouget;PER;PER;
parmi;;;
les;;;
ateliers;;;
"
";;;
deserts;;;
0;;;
oi;;;
nos;;;
pas;;;
sonnaient;;;
comme;;;
dans;;;
une;;;
eglise;;;
0;;;
et;;;
les;;;
grandes;;;
"
";;;
cours;;;
abandonnees;;;
0;;;
que;;;
l';;;
herbe;;;
envahissait;;;
deja;;;
.;;;
Ce;;;
jeune;;;
Rouget;PER;PER;
0;;;
"
";;;
fils;;;
du;;;
concierge;;PER;
Colombe;PER;PER;
0;;;
etait;;;
un;;;
gros;;;
garcon;;;
d';;;
une;;;
douzaine;;;
"
";;;
d';;;
annees;;;
0;;;
fort;;;
comme;;;
un;;;
beuf;LOC;NA;
0;;;
devoue;;;
comme;;;
un;;;
chien;;;
0;;;
bete;;;
comme;;;
"
";;;
une;;;
oie;;;
et;;;
remarquable;;;
surtout;;;
par;;;
une;;;
chevelure;;;
rouge;;;
0;;;
a;;;
laquelle;;;
"
";;;
il;;;
devait;;;
son;;;
surnom;;;
de;;;
Rouget;PER;PER;
.;;;
Seulement;;;
0;;;
je;;;
vais;;;
vous;;;
dire;;;
:;;;
Rouget;PER;PER;
0;;;
"
";;;
pour;;;
moi;;;
0;;;
n';;;
etait;;;
pas;;;
Rouget;PER;PER;
.;;;
Il;;;
etait;;;
tour;;;
a;;;
tour;;;
mon;;;
fidele;;;
Vendredi;;PER;
0;;;
"
";;;
une;;;
tribu;;;
de;;;
sauvages;;;
0;;;
un;;;
equipage;;;
revolte;;;
0;;;
tout;;;
ce;;;
qu';;;
on;;;
voulait;;;
.;;;
"
";;;
Moi;;;
0;;;
meme;;;
0;;;
en;;;
ce;;;
temps;;;
0;;;
la;;;
0;;;
je;;;
ne;;;
m';;;
appelais;;;
pas;;;
Daniel;PER;PER;
Eyssette;PER;PER;
";";;;
"
";;;
j';;;
etais;;;
cet;;;
homme;;;
singulier;;;
0;;;
vetu;PER;NA;
de;;;
peaux;;;
de;;;
betes;;;
0;;;
dont;;;
on;;;
venait;;;
"
";;;
de;;;
me;;;
donner;;;
les;;;
aventures;;;
0;;;
master;MISC;PER;
Crusoe;MISC;PER;
lui;;;
0;;;
meme;;;
.;;;
Douce;;;
folie;;;
l;;;
"
";;;
Le;;;
soir;;;
0;;;
apres;PER;NA;
souper;PER;NA;
0;;;
je;;;
relisais;;;
mon;;;
Robinson;PER;PER;
0;;;
je;;;
l';;;
apprenais;;;
par;;;
ceur;;;
";";;;
"
";;;
le;;;
jour;;;
0;;;
je;;;
le;;;
jouais;;;
0;;;
je;;;
le;;;
jouais;;;
avec;;;
rage;;;
0;;;
et;;;
tout;;;
ce;;;
qui;;;
m';;;
entourait;;;
0;;;
"
";;;
je;;;
l';;;
enrolais;;;
dans;;;
ma;MISC;NA;
comedie;MISC;NA;
.;;;
La;;;
fabrique;;;
n';;;
etait;;;
plus;;;
la;;;
fabrique;;;
";";;;
"
";;;
c';;;
etait;;;
mon;;;
fle;;;
deserte;;;
0;;;
ohl;ORG;NA;
bien;;;
deserte;;;
.;;;
Les;;;
bassins;;;
jouaient;;;
le;;;
rOle;LOC;NA;
"
";LOC;NA;
d';LOC;NA;
Ocean;LOC;LOC;
.;;;
Le;;;
jardin;;;
faisait;;;
une;;;
foret;;;
vierge;;;
.;;;
Il;;;
y;;;
avait;;;
dans;;;
les;;;
platanes;;;
"
";;;
un;;;
tas;;;
de;;;
cigales;;;
qui;;;
etaient;;;
de;;;
la;;;
piece;LOC;NA;
et;;;
qui;;;
ne;;;
le;;;
savaient;;;
pas;;;
.;;;
"
";;;
Rouget;PER;PER;
0;;;
lui;;;
non;;;
plus;;;
0;;;
ne;;;
se;;;
doutait;;;
guere;;;
de;;;
l';;;
importance;;;
de;;;
son;;;
"
";;;
role;;;
.;;;
Si;;;
on;;;
lui;;;
avait;;;
demande;;;
ce;;;
que;;;
c';;;
etait;;;
que;;;
Robinson;PER;PER;
0;;;
on;;;
l';;;
auraitLA;;;
FABRIQUE;;;
"
";;;
.;;;
"
";;;
bien;;;
embarrasse;;;
";";;;
pourtant;;;
je;;;
dois;;;
dire;;;
qu';;;
il;;;
tenait;;;
son;;;
emploi;;;
avec;;;
la;;;
"
";;;
plus;;;
grande;;;
conviction;;;
0;;;
et;;;
que;;;
0;;;
pour;;;
imiter;;;
le;;;
rugissement;;;
des;;;
sau-;;;
"
";;;
vages;LOC;NA;
0;;;
il;;;
n';;;
y;;;
en;;;
avait;;;
pas;;;
comme;;;
lui;;;
.;;;
Ou;;;
avait;;;
-il;;;
appris;;;
e;;;
l';;;
ignore;;;
.;;;
"
";;;
Toujours;;;
est;;;
-il;;;
que;;;
ces;;;
grands;;;
rugissements;;;
de;;;
sauvage;;;
qu';;;
il;;;
allait;;;
"
";;;
chercher;;;
dans;;;
le;;;
fond;;;
de;;;
sa;;;
gorge;;;
0;;;
en;;;
agitant;;;
sa;;;
forte;;;
criniere;;;
rouge;;;
0;;;
"
";;;
auraient;;;
fait;;;
fremir;;;
les;;;
plus;;;
braves;;;
.;;;
MIoi;;;
0;;;
meme;;;
0;;;
Robinson;PER;PER;
0;;;
j';;;
en;;;
avais;;;
"
";;;
quelquefois;;;
le;;;
ceur;;;
bouleverse;;;
0;;;
et;;;
j';;;
etais;;;
oblige;;;
de;;;
lui;;;
dire;;;
a;;;
voix;;;
basse;;;
:;;;
"
 ";;;
Pas;;;
si;;;
fort;;;
0;;;
Rouget;PER;PER;
0;;;
tu;;;
me;;;
fais;;;
peur;;;
.;;;
"
";;;
Malheureusement;;;
0;;;
si;;;
Rouget;PER;PER;
imitait;;;
le;;;
cri;;;
des;;;
sauvages;;;
tres;;;
bien;;;
0;;;
"
";;;
il;;;
savait;;;
encore;;;
mieux;;;
dire;;;
les;;;
gros;;;
mots;;;
d';;;
enfants;;;
de;;;
la;;;
rue;;;
et;;;
jurer;;;
le;;;
"
";;;
nom;;;
de;;;
Notre-Seigneur;PER;NA;
.;;;
Tout;;;
en;;;
jouant;;;
0;;;
j';;;
appris;;;
a;;;
faire;;;
comme;;;
lui;;;
0;;;
"
";;;
et;;;
un;;;
jour;;;
0;;;
en;;;
pleine;;;
table;;;
0;;;
un;;;
formidable;;;
juron;;;
m';;;
echappa;;;
je;;;
ne;;;
sais;;;
"
";;;
comment;;;
.;;;
Consternation;PER;NA;
generalel;PER;NA;
Qui;;;
t';;;
a;;;
appris;;;
cela;;;
?;;;
Ou;;;
l';;;
as;;;
0;;;
tu;;;
"
";;;
entendu;;;
?;;;
n;;;
Ce;;;
fut;;;
un;;;
evenement;;;
.;;;
M.;;PER;
Eyssette;LOC;PER;
parla;;;
tout;;;
de;;;
suite;;;
de;;;
"
";;;
me;;;
mettre;;;
dans;;;
une;;;
maison;;;
de;;;
correction;;;
";";;;
mon;;;
grand;;;
frere;;;
l';;;
abbe;PER;NA;
dit;;;
"
";;;
qu';;;
avant;;;
toute;;;
chose;;;
