Token;Label_AB;Label_AA;Label_CF;Label_LM;Label_MB
qe;;;;;
bien;;;;;
juste;;;;;
ee;;;;;
qu';;;;;
il;;;;;
lui;;;;;
fllait;;;;;
pour;;;;;
vire;;;;;
.;;;;;
PREMIIRR;;;;;
PAHR;;;;;
.;;;;;
"
";;;;;
lla;;;;;
samait;;;;;
du;;;;;
fromant;;;;;
daux;MISC;;;;
anneas;MISC;;;;
de;MISC;;;;
suite;MISC;;;;
dans;;;;;
"
";;;;;
eon;;;;;
ehamp;LOC;;;;
,;;;;;
gqui;;;;;
,;;;;;
la;;;;;
troisime;;;;;
,;;;;;
rapportait;;;;;
alterna-;;;;;
"
";;;;;
tivement;;;;;
du;;;;;
trbfle;;;;;
et;;;;;
des;;;;;
pmmes;;;;;
do;;;;;
tenre;;;;;
.;;;;;
Klle;;;;;
"
";;;;;
resoltait;;;;;
asse;;;;;
de;;;;;
hl6;;;;;
pour;;;;;
so;;;;;
nourrir;;;;;
pondant;;;;;
-;;;;;
les;;;;;
"
";;;;;
trois;;;;;
ans;;;;;
.;;;;;
ais;;;;;
si;;;;;
lanne;;PER;;;PER
atait;;;;;
mauvaise;;;;;
,;;;;;
la;PER;PER;PER;;PER
mbre;PER;PER;PER;;PER
"
";;;PER;;
Nannetts;PER;PER;PER;PER;PER
venduit;;;;;
la;;;;;
pibce;;;;;
de;;;;;
toile;;;;;
quelle;;;;;
avait;;;;;
fait;;;;;
"
";;;;;
faire;;;;;
aveoe;;;;;
le;;;;;
ohanvre;;;;;
amass;;;;;
et;;;;;
fll6;;;;;
pandant;;;;;
quuatra;;;;;
"
";;;;;
uns;;;;;
.;;;;;
Largent;;;;;
quella;;;;;
en;;;;;
retirait;;;;;
lui;;;;;
servait;;;;;
a;;;;;
com-;;;;;
"
";;;;;
plter;;;;;
sa;;;;;
provision;;;;;
de;;;;;
bl6;;;;LOC;
";";;;;;
et;;;;;
,;;;;;
mlgr6;;;;;
tout;;;;;
cela;;;;;
,;;;;;
"
";;;;;
elle;;;;;
ptiassit;;;;;
bien;;;;;
un;;;;;
peu;;;;;
l';;;;;
hiver;MISC;;;;
.;;;;;
"
";;;;;
Pour;;;;;
que;;;;;
In;LOC;;;MISC;
terre;LOC;;;MISC;
rapporte;;;;;
chaque;;;;;
annee;;;;;
sans;;;;;
"
";;;;;
se;;;;;
reposer;;;;;
,;;;;;
il;;;;;
faut;;;;;
baaucoup;;;;;
de;;;;;
fumier;;;;;
";";;;;;
la;PER;PER;PER;PER;PER
mre;PER;PER;PER;PER;PER
"
";;;PER;;
Nannette;PER;PER;PER;PER;PER
,;;;;;
qui;;;;;
le;;;;;
savait;;;;;
bien;;;;;
,;;;;;
avait;;;;;
une;;;;;
vache;;;;;
et;;;;;
"
";;;;;
une;;;;;
ohbvre;;;;;
quelle;;;;;
menait;;;;;
paltre;;;;;
sur;;;;;
les;LOC;;;;
commu-;LOC;;;;
"
";LOC;;;;
naux;;;;;
et;;;;;
le;;;;;
long;;;;;
des;;;;;
haies;;;;;
.;;;;;
Avee;;;;;
leur;;;;;
lait;;;;;
elle;;;;;
faisait;;;;;
"
";;;;;
du;;;;;
beurre;;;;;
et;;;;;
des;;;;;
fromages;;;;;
,;;;;;
quelle;;;;;
vendait;;;;;
h;;;;;
la;;;;;
"
";;;;;
ville;;;;LOC;
voisine;;;;LOC;
.;;;;;
Quand;;;;;
ses;;;;;
b8tes;;;;;
etaient;;;;;
rentres;;;;;
"
";;;;;
l6table;;;;;
,;;;;;
elle;;;;;
allait;;;;;
chereher;;;;;
pour;;;;;
elles;;;;;
de;;;;;
lherhe;;;;;
"
";;;;;
dans;;;;;
les;LOC;;;;
ehamps;LOC;;;;
et;;;;;
au;;;;;
bord;;;;;
des;LOC;;;;
ruisseaux;LOC;;;;
.;;;;;
Commae;;;;;
"
";;;;;
elle;;;;;
les;;;;;
tenait;;;;;
bien;;;;;
proprement;;;;;
,;;;;;
elles;;;;;
etaient;;;;;
en;;;;;
bon;;;;;
"
";;;;;
6tat;;;;;
.;;;;;
Lhiver;MISC;;;;
,;;;;;
elles;;;;;
mangeaient;;;;;
ou;;;;;
du;;;;;
trfle;;;;;
qui;;;;;
"
";;;;;
avait;;;;;
6te;;;;;
rentr6;;;;;
bien;;;;;
seo;;;;;
,;;;;;
ou;;;;;
du;;;;;
regain;;;;;
recolt6;;;;;
aprs;;;;;
"
";;;;;
li;;;;;
fuche;;;;;
des;;;;;
grands;;;;;
foins;;;;;
.;;;;;
"
";;;;;
lLa;PER;PER;PER;PER;PER
mbre;PER;PER;PER;PER;PER
Nannette;PER;PER;PER;PER;PER
vendait;;;;;
son;;;;;
vin;;;;;
et;;;;;
ne;;;;;
buvait;;;;;
"
";;;;;
que;;;;;
sa;;;;;
boisson;;;;;
';;;;;
";";;;;;
mais;;;;;
,;;;;;
comme;;;;;
l';;;;;
argent;;;;;
qu';;;;;
ella;;;;;
ti-;;;;;
"
";;;;;
rait;;;;;
de;;;;;
son;;;;;
vin;;;;;
suffisait;;;;;
bien;;;;;
juste;;;;;
,;;;;;
aveo;;;;;
oelui;;;;;
de;;;;;
"
";;;;;
son;;;;;
beurre;;;;;
et;;;;;
de;;;;;
ses;;;;;
fremages;;;;;
,;;;;;
a;;;;;
payer;;;;;
l';;;;;
imp6;;;;;
t;;;;;
et;;;;;
"
";;;;;
les;;;;;
fagons;;;;;
de;;;;;
son;LOC;;;;
ehamp;LOC;;;;
et;;;;;
de;;;;;
savigne;;;;;
,;;;;;
at;;;;;
qu';;;;;
il;;;;;
lui;;;;;
"
";;;;;
fllait;;;;;
oneore;;;;;
se;;;;;
procurer;;;;;
quelque;;;;;
argent;;;;;
pour;;;;;
son;;;;;
"
";;;;;
entretien;;;;;
,;;;;;
elle;;;;;
levait;;;;;
des;;;;;
oisons;;;;;
quelle;;;;;
achetait;;;;;
"
";;;;;
1;;;;;
.;;;;;
Hau;;;;;
passee;;;;;
sur;;;;;
la;;;;;
rpe;;;;;
ou;;;;;
lo;;;;;
maro;;;;;
de;;;;;
la;;;;;
vandlange.-RNANOE;;;;;
DE;;;;;
JRANNI;PER;PER;;PER;PER
.;;;;;
"
";;;;;
au;;;;;
sortir;;;;;
de;;;;;
Ia;;;;;
eoquo;;;;;
.;;;;;
Elle;;;;;
se;;;;;
donnait;;;;;
heaueoup;;;;;
da;;;;;
"
";;;;;
mal;;;;;
pour;;;;;
uppter;;;;;
ces;;;;;
petites;;;;;
htas;;;;;
et;;;;;
pour;;;;;
les;;;;;
"
";;;;;
garantir;;;;;
du;;;;;
froid;;;;;
pondant;;;;;
la;;;;;
nuit;;;;;
.;;;;;
Ses;;;;;
voisines;;;;;
"
";;;;;
plumaient;;;;;
leurs;;;;;
oioes;;;;;
quatre;;;;;
fois;;;;;
avant;;;;;
de;;;;;
les;;;;;
ven-;;;;;
"
";;;;;
LL;;;;;
"
";;;;;
l;;;;;
"
";;;;;
II;;;;;
"
";;;;;
II;;;;;
"
";;;;;
I;;;;;
"
";;;;;
I;;;;;
"
";;;;;
IIF;;;;;
"

";;;;;
M;;;;;
"
";;;;;
ii;;;;;
"

";;;;;
I;;;;;
"
";;;;;
I;;;;;
"

";;;;;
II;;;;;
"
";;;;;
E;;;;;
"
";;;;;
E;;;;;
"

";;;;;
g;;;;;
"

";;;;;
Chamnnlhrs;;;;;
de;;;;;
ta;PER;;;;
mn;PER;;;;
Mamnnetta;PER;;PER;;
"
";;;;;
dre;;;;;
";";;;;;
mais;;;;;
la;PER;PER;PER;;PER
mere;PER;PER;PER;;PER
Nannette;PER;PER;PER;PER;PER
disait;;;;;
que;;;;;
eetait;;;;;
une;;;;;
"
";;;;;
mauvaise;;;;;
m6thode;;;;;
,;;;;;
paree;;;;;
qu';;;;;
ainsi;;;;;
la;;;;;
plume;;;;;
n';;;;;
a-;;;;;
"
";;;;;
vait;;;;;
pas;;;;;
le;;;;;
temps;;;;;
de;;;;;
se;;;;;
nourrir;;;;;
,;;;;;
et;;;;;
elle;;;;;
ne;;;;;
plumait;;;;;
"
";;;;;
les;;;;;
siennes;;;;;
que;;;;;
trois;;;;;
fois;;;;;
";";;;;;
puis;;;;;
elle;;;;;
en;;;;;
vendait;;;;;
la;;;;;
"
";;;;;
moitie;;;;;
pour;;;;;
la;;;;;
Toussaint;MISC;MISC;MISC;MISC;
et;;;;;
l';;;;;
antre;;;;;
moiti6;;;;;
a;;;;;
Noel.rREMII;MISC;MISC;MISC;MISC;MISC
PMRTIR;;;;;
.;;;;;
"
";;;;;
Tout;;;;;
cela;;;;;
na;;;;;
lui;;;;;
ruapportuait;;;;;
pus;;;;;
une;;;;;
grasse;;;;;
aomma;;;;;
";";;;;;
];;;;;
"
";;;;;
mais;;;;;
elle;;;;;
6tait;;;;;
si;;;;;
m6nagbre;;;;;
qu';;;;;
il;;;;;
lui;;;;;
restait;;;;;
touours;;;;;
];;;;;
"
";;;;;
un;;;;;
peu;;;;;
dargent;;;;;
a;;;;;
la;;;;;
fin;;;;;
de;;;;;
lann6e;;;;;
.;;;;;
Pourtnt;;;;;
ella;;;;;
];;;;;
"
";;;;;
ne;;;;;
so;;;;;
nourrissait;;;;;
pas;;;;;
trop;;;;;
mal;;;;;
,;;;;;
diaant;;;;;
quella;;;;;
];;;;;
"
";;;;;
aimait;;;;;
mieux;;;;;
donner;;;;;
au;;;;;
bouher;;;;;
uno;;;;;
pibdeoe;;;;;
de;;;;;
];;;;;
"
";;;;;
oinquanta;;;;;
entimes;;;;;
toutaes;;;;;
las;;;;;
semaines;;;;;
,;;;;;
que;;;;;
vingt-;MISC;;;;
];;;;;
"
";;;;;
ein;MISC;;;;
franes;MISC;;;;
par;;;;;
an;;;;;
au;PER;;;;
mdecin;PER;;;;
et;;;;;
au;PER;;;;
pharmaeien;PER;;;;
.;;;;;
];;;;;
"
";;;;;
Cuthorine;PER;PER;PER;PER;PER
et;;;;;
eanne;PER;PER;;PER;
.;;;;;
"
";;;;;
Un;;;;;
mutin;;;;;
,;;;;;
la;PER;PER;PER;PER;PER
mbre;PER;PER;PER;PER;PER
Nannette;PER;PER;PER;PER;PER
,;;;;;
tricotant;;;;;
devant;;;;;
sa;;;;;
];;;;;
"
";;;;;
porte;;;;;
,;;;;;
vit;;;;;
venir;;;;;
h;;;;;
lle;;;;;
une;;;;;
jeune;;;;;
femme;;;;;
qui;;;;;
tenait;;;;;
];;;;;
"
";;;;;
par;;;;;
la;;;;;
main;;;;;
une;;;;;
petite;;;;;
flllo;;;;;
de;;;;;
sept;;;;;
h;;;;;
huit;;;;;
ans;;;;;
et;;;;;
];;;;;
"
";;;;;
ui;;;;;
lui;;;;;
demanda;;;;;
un;;;;;
moreeau;;;;;
de;;;;;
puin;;;;;
.;;;;;
Comme;;;;;
cette;;;;;
];;;;;
"
";;;;;
femme;;;;;
6tait;;;;;
trs;;;;;
-;;;;;
ple;;;;;
et;;;;;
avait;;;;;
lair;;;;;
malade;;;;;
,;;;;;
Ia;PER;PER;PER;PER;PER
mre;PER;PER;PER;PER;PER
];;;PER;;
"
";;;PER;;
Nannette;PER;PER;PER;PER;PER
l';;;;;
emmena;;;;;
dans;;;;;
sa;;;;;
maison;;;;;
et;;;;;
la;;;;;
fit;;;;;
asseoir;;;;;
.;;;;;
];;;;;
"
";;;;;
llo;;;PER;;PER
ralluma;;;;;
son;;;;;
feu;;;;;
,;;;;;
fit;;;;;
r6chauffr;;;;;
un;;;;;
reste;;;;;
de;;;;;
];;;;;
"
";;;;;
soupo;;;;;
quelle;;;;;
avait;;;;;
gard6;;;;;
pour;;;;;
son;;;;;
repas;;;;;
du;;;;;
soir;;;;;
et;;;;;
];;;;;
"
";;;;;
le;;;;;
donna;;;;;
aux;;;;;
deux;;;;;
mendiantes;;;;;
.;;;;;
Lenfant;;;;;
mangea;;;;;
];;;;;
"
";;;;;
de;;;;;
sihon;;;;;
cur;;;;;
,;;;;;
que;;;;;
la;PER;PER;PER;PER;PER
mbre;PER;PER;PER;PER;PER
Nannette;PER;PER;PER;PER;PER
vit;;;;;
bien;;;;;
que;;;;;
];;;;;
"
";;;;;
cette;;;;;
petite;;;;;
fille;;;;;
n';;;;;
avait;;;;;
pas;;;;;
souvent;;;;;
si;;;;;
bonne;;;;;
];;;;;
"
";;;;;
chance;;;;;
.;;;;;
Ensuite;;;;;
elle;;;;;
leur;;;;;
versa;;;;;
un;;;;;
verre;;;;;
de;;;;;
boisson;;;;;
];;;;;
"
 ";;;;;
cehaeune;;;;PER;
,;;;;;
et;;;;;
dit;;;;;
a;;;;;
la;;;;;
pauvre;;;;;
femme;;;;;
:;;;;;
"
";;;;;
a;;;;;
Mon;PER;;;;MISC
Dien;PER;MISC;MISC;;MISC
1;;;;;
il;;;;;
faut;;;;;
qu';;;;;
il;;;;;
vous;;;;;
soit;;;;;
arriv6;;;;;
un;;;;;
"
";;;;;
bien;;;;;
grand;;;;;
malheur;;;;;
,;;;;;
pourqu';;;;;
une;;;;;
femme;;;;;
,;;;;;
aussi;;;;;
jeune;;;;;
];;;;;
"
";;;;;
que;;;;;
vous;;;;;
,;;;;;
ait;;;;;
pu;;;;;
se;;;;;
deider;;;;;
a;;;;;
demander;;;;;
son;;;;;
pain;;;;;
l;;;;;
];;;;;
"
";;;;;
-;;;;;
Ohl;;;;;
oui;;;;;
,;;;;;
un;;;;;
bien;;;;;
grand;;;;;
malheur;;;;;
,;;;;;
ma;;;;;
hbre;;;;;
];;;;;
"
";;;;;
femme;;;;;
.;;;;;
Il;;;;;
faut;;;;;
se;;;;;
trouver;;;;;
depourvue;;;;;
de;;;;;
toute;;;;;
res-;;;;;
];;;;;
"
";;;;;
souree;;;;;
pour;;;;;
se;;;;;
rsoudre;;;;;
a;;;;;
en;;;;;
venir;;;;;
lhi;;;;;
.;;;;;
J';;;;;
ai;;;;;
biaen;;;;;
];;;;;
"
";;;;;
soufftert;;;;;
de;;;;;
la;;;;;
faim;;;;;
avant;;;;;
de;;;;;
pouvoir;;;;;
me;;;;;
decider;;;;;
a;;;;;
"
";;;;;
ieudre;;;;;
la;;;;;
main;;;;;
";";;;;;
je;;;;;
ereis;;;;;
que;;;;;
je;;;;;
ms;;;;;
serais;;;;;
plutdt;;;;;PER
"
";;;;;PER
Iaisse;;;;;PER
mourir;;;;;
,;;;;;
si;;;;;
je;;;;;
n';;;;;
avais;;;;;
la;;;;;
erainte;;;;;
de;;;;;
Dieu;PER;MISC;MISC;MISC;MISC
et]NFANGR;;;;;
DR;;;;PER;
JEANNE;PER;PER;PER;PER;PER
,;;;;;
"
";;;;;
si;;;;;
jo;;;;;
n';;;;;
aimaia;;;;;
tant;;;;;
aett;;;;;
pauvr;;;;;
ianaeente;PER;;;;
que;;;;;
vaili;;;;;
,;;;;;
"
";;;;;
at;;;;;
qui;;;;;
serait;;;;;
morte;;;;;
aussi;;;;;
.;;;;;
Quand;;;;;
il;;;;;
mn;;;;;
oote;;;;;
.;;;;;
"

";;;;;
-;;;;;
"
";;;;;
(;;;;;
--;;;;;
"
";;;;;
---;;;;;
.;;;;;
"
";;;;;
z;;;;;
';;;;;
"
";;;;;
.;;;;;
"
";;;;;
Wl;;;;;
"
";;;;;
.ei;;;;;
"
";;;;;
E;;;;;
"
";;;;;
--;;;;;
.;;;;;
"
";;;;;
L;;;;;
"
";;;;;
-;;;;;
"
";;;;;
:;;;;;
:;;;;;
"
";;;;;
-F;;;;;
"

";;;;;
g;;;;;
"
";;;;;
t;;;;;
';;;;;
"
";;;;;
:;;;;;
i;;;;;
"
";;;;;
kI;;;;;
"

";;;;;
a;;;;;
"

";;;;;
`;;;;;
"

";;;;;
.;;;;;
"
";;;;;
u.;;;;;
"
";;;;;
5V;;;;;
"
";;;;;
LiI;;;;;PER
"

";;;;;
:;;;;;
"
";;;;;
ZAY;;;;;
"
";;;;;
:;;;;;
"
";;;;;
il;;;;;
"
";;;;;
HI;;;;;
"
";;;;;
IE;;;;;
"
";;;;;
.;;;;;
"
";;;;;
.;;;;;
"
";;;;;
L;;;;;
"
";;;;;
-;;;;;
"
";;;;;
=;;;;;
..;;;;;
"
";;;;;
H;;;;;
"

";;;;;
.Eee-;;;;;
"

";;;;;
I;;;;;
"
";;;;;
H;;;;;
"
";;;;;
E;;;;;
"

";;;;;
E;;;;;
"
";;;;;
EER;;;;;
"




";;;;;
g;;;;;
"

";;;;;
R;;;;;
"
";;;;;
atherine;PER;PER;PER;;PER
at;;;;;
eame;PER;PER;;;PER
.;;;;;
"
";;;;;
trop;;;;;
pour;;;;;
aller;;;;;
demander;;;;;
,;;;;;
je;;;;;
la;;;;;
regarde;;;;;
et;;;;;
je;;;;;
re-;;;;;
"
";;;;;
prends;;;;;
eourage;;;;;
.;;;;;
C';;;;;
est;;;;;
bien;;;;;
triste;;;;;
,;;;;;
alles;;;;;
,;;;;;
ma;;;;;
chre;;;;;
"
";;;;;
femme;;;;;
,;;;;;
quand;;;;;
on;;;;;
a;;;;;
du;;;;;
ceur;;;;;
,;;;;;
de;;;;;
vivre;;;;;
en;;;;;
nePMIR;;;;;
PARTIR;;;;;
.;;;;;
"
";;;;;
fisant;;;;;PER
rin;;;;;PER
,;;;;;
aux;;;;;
d6pana;;;;;
da;;;;;
ux;;;;;
qui;;;;;
truavaillentl;;;;;
"
";;;;;
mais;;;;;
];;;;;
e;;;;;
n;;;;;
pux;;;;;
mpus;;;;;
ifire;;;;;
uutramnt;;;;;
.;;;;;
"
";;;;;
-;;;;;
Pourquaoi;;;;;
dana;;;;PER;
?;;;;;
dit;;;;;
la;PER;PER;PER;PER;PER
mbre;PER;PER;PER;PER;PER
Nannatte;PER;PER;PER;PER;PER
.;;;;;
Cun-;;;;;
"
";;;;;
t;;;;;
-;;;;;
mOi;;;;;
g.;;;;;
n;;;;;
"
";;;;;
la;;;;;
puuvra;;;;;
famma;;;;;
dit;;;;;
a;;;;;
la;PER;PER;PER;PER;PER
mra;PER;PER;PER;PER;PER
Nunnatta;PER;PER;PER;PER;PER
:;;;;;
"
 ";;;;;
le;;;;;
suis;;;;;
du;;;;;
villag;;;;;
qui;;;;;
est;;;;;
auprbs;;;;;
du;;;;;
Cher;LOC;LOC;LOC;;LOC
,;;;;;
h;;;;;
"
";;;;;
wias;;;;;
lieuss;;;;;
d';;;;;
iei;;;;;PER
.;;;;;
Il;;;;;
y;;;;;
a;;;;;
deux;;;;;
mois;;;;;
,;;;;;
joi;;;;;
pertu;;;;;
"
";;;;;
mno;;;;;
mari;;;;;
i;;;;;
la;;;;;
suita;;;;;
duna;;;;;
groso;;;;;
mualadia;;;;;
qui;;;;;
l';;;;;
n;;;;;
"
";;;;;
retenu;;;;;
au;;;;;
lit;;;;;
penlant;;;;;
bion;;;;;
longtmps;;;;;
.;;;;;
I';;;;;
ai;;;;;
vandu;;;;;
"
";;;;;
tout;;;;;
co;;;;;
quo;;;;;
vais;;;;;
afin;;;;;
do;;;;;
pouvoir;;;;;
lo;;;;;
soigner;;;;;
.;;;;;
"
";;;;;
uand;;;;;
il;;;;;
ny;;;;;
a;;;;;
plus;;;;;
rion;;;;;
u;;;;;
ala;;;;;
muison;;;;;
qua;;;;;
lo;;;;;
lit;;;;;
"
";;;;;
sur;;;;;
laquel;;;;;
il;;;;;
6tait;;;;;
eoueh6;;;;;
,;;;;;
il;;;;;
a;;;;;
bin;;;;;
fallu;;;;;
s';;;;;
andettor;;;;;
.;;;;;
"
";;;;;
Apres;;;;;
su;;;;;
mort;;;;;
,;;;;;
on;;;;;
a;;;;;
vendu;;;;;
la;;;;;
maison;;;;;
,;;;;;
lo;;;;;
jardin;;;;;
,;;;;;
"
";;;;;
la;;;;;
chbnevibre;;;;;LOC
,;;;;;
onfin;;;;;
tout;;;;;
,;;;;;
pour;;;;;
payer;;;;;
le;;;;;
decin;;;;;
"
";;;;;
et;;;;;
les;;;;;
autres;;;;;
,;;;;;
et;;;;;
je;;;;;
ne;;;;;
sais;;;;;
plus;;;;;
oi;;;;;
me;;;;;
retirer;;;;;
,;;;;;
On;;;;;
"
";;;;;MISC
no;;;;;
veut;;;;;
pas;;;;;
me;;;;;
louer;;;;;
,;;;;;
meme;;;;;
une;;;;;
petite;;;;;
chambre;;;;;
,;;;;;
"
";;;;;
psree;;;;;
que;;;;;
je;;;;;
n';;;;;
ai;;;;;
pas;;;;;
de;;;;;
mobilier;;;;;
pour;;;;;
repondro;;;;;
"
";;;;;
du;;;;;
loyer;;;;;
.;;;;;
Je;;;;;
couehe;;;;;
avee;;;;;
ma;;;;;
petite;PER;;;;
lehnno;PER;;;;
dans;;;;;
les;;;;;
"
";;;;;
granges;;;;;
,;;;;;
quand;;;;;
on;;;;;
veut;;;;;
bien;;;;;
m';;;;;
y;;;;;
souffrir;;;;;
,;;;;;
ou;;;;;
bion;;;;;
"
";;;;;
sur;;;;;
les;;;;;
tas;;;;;
de;;;;;
ehaume;PER;;;;
.;;;;;
C';;;;;
est;;;;;
bon;;;;;
 ;;;;;
prsent;;;;;
qu';;;;;
il;;;;;
"
";;;;;
fait;;;;;
chaud;;;;;
";";;;;;
mais;;;;;
plus;;;;;
tard;;;;;
,;;;;;
eomment;;;;;
faire;;;;;
aves;;;;;
"
";;;;;
ett;;;;;
nfnt;;;;;
,;;;;;
mei;;;;;
 ;;;;;
i;;;;;
ses;;;;;
medesins;;;;;
ont;;;;;
d6fendu;;;;;
"
";;;;;
de;;;;;
sortir;;;;;
pendant;;;;;
tout;;;;;
l';;;;;
hiver?s;MISC;;;MISC;
"
";;;;;
Et;;;;;
la;;;;;
pauvre;;;;;
malheureus;;;;;
se;;;;;
mit;;;;;
 ;;;;;
pleurer;;;;;
.;;;;;
Sa;;;;;
"
";;;;;
petite;;;;;
fille;;;;;
pleura;;;;;
aussi;;;;;
en;;;;;
lembrassant;;;;;
.;;;;;
Elle;;;;;
avait;;;;;
"
";;;;;
l';;;;;
air;;;;;
si;;;;;
doux;;;;;
et;;;;;
si;;;;;
aimable;;;;;
,;;;;;
cette;;;;;
petite;;;;;
,;;;;;
que;;;;;
la;PER;PER;PER;PER;PER
"
";;;PER;;
mre;PER;PER;PER;PER;PER
Nannette;PER;PER;PER;PER;PER
sentit;;;;;
fondre;;;;;
son;;;;;
ceur;;;;;
en;;;;;
pensant;;;;;
"
 ";;;;;
la;;;;;
misbre;;;;;
qu';;;;;
elle;;;;;
ondurerait;;;;;
quand;;;;;
l';;;;;
hiver;;;;;
serait;;;;;
];;;;;
"
";;;;;
venu;;;;;
.;;;;;
Aussitdt;;;;;
il;;;;;
lui;;;;;
vint;;;;;
dans;;;;;
lid6a;;;;;
de;;;;;
faire;;;;;
une;;;;;
];;;;;
"
";;;;;
honne;;;;;
action;;;;;
.;;;;;
MNANY;;;;PER;
D;;;;PER;
JRANNR;PER;PER;PER;PER;PER
.;;;;;
"
";;;;;
a;PER;PER;PER;;PER
mro;PER;PER;PER;;PER
annette;PER;PER;PER;;PER
donno;;;;;
asllo;;;;;
a;;;;;
atherino;PER;PER;PER;;
.;;;;;
"
";;;;;
a;;;;;
Commant;;;;;PER
vous;;;;;
uppele;;;;;
-;;;;;
vaoua;;;;;
dona;;;;;
t;;;;;
demandu;;;;;
"
";;;;;
ln;PER;PER;PER;;PER
mra;PER;PER;PER;PER;PER
Nannaetto;PER;PER;PER;PER;PER
.;;;;;
"
";;;;;
-;;;;;
On;;;;;
m';;;;;
apalla;;;;;
Cathrine;PER;PER;PER;PER;PER
Iblano;PER;;;PER;
.;;;;;
"
";;;;;
-;;;;;
h;;;;;
bionl;;;;;
Ctharino;PER;PER;PER;PER;PER
,;;;;;
];;;;;
';;;;;
ai;;;;;
lh;;;;;
un;;;;;
vieux;;;;;
lit;;;;;
,;;;;;
una;;;;;
"
";;;;;
puillasse;;;;;
at;;;;;
une;;;;;
oouverture;;;;;
";";;;;;
si;;;;;
vots;;;;;
voule;;;;;
rester;;;;;
"
";;;;;
lei;;;;;
,;;;;;
ja;;;;;
vous;;;;;
logerai;;;;;
da;;;;;
bion;;;;;
hon;;;;;
eur;;;;;
oet;;;;;
jae;;;;;
vous;;;;;
"
";;;;;
asoiguerai;;;;;
do;;;;;
man;;;;;
mieux;;;;;
,;;;;;
ainsi;;;;;
quo;;;;;
votre;;;;;
petite;;;;;
";";;;;;
"
";;;;;
i';;;;;
aime;;;;;
heaueoup;;;;;
les;;;;;
enfants;;;;;
";";;;;;
j';;;;;
en;;;;;
ai;;;;;
eu;;;;;
quuatre;;;;;
